state_abbr,State,TotalPopulation,Depression,Weather
AL,Alabama,5039877,22.86434443,63.8
KY,Kentucky,4509394,27.129755,56.3
SD,South Dakota,895376,17.76660509,47.5
TX,Texas,29527941,21.2474796,65.2
VA,Virginia,6418712,20.32309622,56.7
WI,Wisconsin,5895908,22.40446708,45.1
CA,California,39237836,16.67333398,60.9
CO,Colorado,5812069,21.49479036,46.8
KS,Kansas,2934582,20.47203418,55.3
MD,Maryland,6165129,18.39912896,56.6
MN,Minnesota,5707390,22.59056117,43.6
MO,Missouri,6168187,24.01393142,55.4
SC,South Carolina,5190705,21.06779705,63.7
TN,Tennessee,6975218,26.5982129,58.4
IL,Illinois,12671469,18.2295427,53
MI,Michigan,10050811,23.78152252,46.8
MS,Mississippi,2949965,21.62864254,64
MT,Montana,1104271,23.84683334,43.9
NC,North Carolina,10551162,22.39023069,60
PA,Pennsylvania,12964056,21.66670598,50.7
IN,Indiana,6805985,24.85348725,52.9
NE,Nebraska,1963692,17.82856965,50.3
NM,New Mexico,1894369,21.37652965,54.9
OK,Oklahoma,3986639,24.82684866,59.7
GA,Georgia,10799566,19.53421187,64.5
NV,Nevada,3143991,18.71594617,52.6
OR,Oregon,4246155,25.83329455,49.4
AR,Arkansas,3025891,25.30302324,60.3
AZ,Arizona,7276316,19.61411408,62.1
NY,New York,19835913,20.04378212,47.4
IA,Iowa,3193079,18.81456835,49.1
LA,Louisiana,4609213,25.49888688,66.7
ND,North Dakota,774948,19.26610237,43.6
NJ,New Jersey,9267130,18.54006743,54.9
OH,Ohio,11780017,23.28454049,52.6
WY,Wyoming,578803,20.80574911,43
MA,Massachusetts,6984723,21.30943931,50.6
ME,Maine,1372247,25.25368501,44.1
NH,New Hampshire,1388992,23.69705419,45.8
ID,Idaho,1900923,23.54042726,45.1
WV,West Virginia,1782959,28.0830318,53.2
WA,Washington,7738692,25.19151695,48.6
UT,Utah,3337975,24.44901079,50.5
VT,Vermont,645570,26.6875778,44.7
RI,Rhode Island,1095610,25.05021294,52.3
CT,Connecticut,3605597,20.48547361,51.2
DE,Delaware,1003384,18.05429287,57.3
